age,gender,race,annual_death_prob
0,Female,American Indian or Alaska Native,0.003714324730301789
0,Female,Asian or Pacific Islander,0.003723020965583502
0,Female,Black or African American,0.009152014464888896
0,Female,White,0.004184458154349721
0,Male,American Indian or Alaska Native,0.0047766078167471564
0,Male,Asian or Pacific Islander,0.004308410376088322
0,Male,Black or African American,0.01127709214664963
0,Male,White,0.005136869875028897
1,Female,American Indian or Alaska Native,0.0003788391286700041
1,Female,Asian or Pacific Islander,0.00020596134517473762
1,Female,Black or African American,0.0005203467761322107
1,Female,White,0.0002857044580425103
1,Male,American Indian or Alaska Native,0.0005505886054377179
1,Male,Asian or Pacific Islander,0.0003282121813606739
1,Male,Black or African American,0.000675828551111738
1,Male,White,0.0003598765717007245
2,Female,American Indian or Alaska Native,7.967281032559622e-05
2,Female,Asian or Pacific Islander,0.00016581129095933676
2,Female,Black or African American,0.00034805372521604615
2,Female,White,0.0002026318709607163
2,Male,American Indian or Alaska Native,0.00020654222497611856
2,Male,Asian or Pacific Islander,0.00013549319523063953
2,Male,Black or African American,0.0004957658140647608
2,Male,White,0.0002720906022271996
3,Female,American Indian or Alaska Native,5.270092226613966e-05
3,Female,Asian or Pacific Islander,9.144738346174071e-05
3,Female,Black or African American,0.00022419738810042862
3,Female,White,0.00013727942236097386
3,Male,American Indian or Alaska Native,0.0003594628597838088
3,Male,Asian or Pacific Islander,0.0001511237127498039
3,Male,Black or African American,0.0003217851386523752
3,Male,White,0.00019932736784302385
4,Female,American Indian or Alaska Native,0.00010537685397402461
4,Female,Asian or Pacific Islander,9.326618168252192e-05
4,Female,Black or African American,0.00017734479374800487
4,Female,White,0.0001152091904017029
4,Male,American Indian or Alaska Native,0.0001783303187017553
4,Male,Asian or Pacific Islander,0.00011068313631735069
4,Male,Black or African American,0.0002600416066570651
4,Male,White,0.00015196131182395966
5,Female,American Indian or Alaska Native,0.00015949387277705416
5,Female,Asian or Pacific Islander,0.00011490378722882706
5,Female,Black or African American,0.00011897927678446606
5,Female,White,0.00011605142245395884
5,Male,American Indian or Alaska Native,0.0002567328181561449
5,Male,Asian or Pacific Islander,8.69080295776994e-05
5,Male,Black or African American,0.00021863268270931922
5,Male,White,0.000128535715878358
6,Female,American Indian or Alaska Native,7.874842503149937e-05
6,Female,Asian or Pacific Islander,0.0001263862997251098
6,Female,Black or African American,0.00019384121720355713
6,Female,White,8.749073828512684e-05
6,Male,American Indian or Alaska Native,0.00015166068449522268
6,Male,Asian or Pacific Islander,0.00010535266805631852
6,Male,Black or African American,0.00016962650543523574
6,Male,White,0.00011031641227527927
7,Female,American Indian or Alaska Native,5.3384582532564594e-05
7,Female,Asian or Pacific Islander,7.241653993772178e-05
7,Female,Black or African American,0.00016619676509867934
7,Female,White,7.342480222456941e-05
7,Male,American Indian or Alaska Native,7.787151200519143e-05
7,Male,Asian or Pacific Islander,0.00013003602762883128
7,Male,Black or African American,0.00020616077104128368
7,Male,White,9.69405311570719e-05
8,Female,American Indian or Alaska Native,5.222886689473272e-05
8,Female,Asian or Pacific Islander,0.00010068465565847765
8,Female,Black or African American,0.00020438751873552255
8,Female,White,9.25050641458474e-05
8,Male,American Indian or Alaska Native,0.00015343306482546988
8,Male,Asian or Pacific Islander,9.67175549802101e-05
8,Male,Black or African American,0.0001863569509709197
8,Male,White,9.823493790194732e-05
9,Female,American Indian or Alaska Native,0.00010549914281946459
9,Female,Asian or Pacific Islander,3.879608004407235e-05
9,Female,Black or African American,0.0001851264148947424
9,Female,White,8.988290217699093e-05
9,Male,American Indian or Alaska Native,0.00010256147278274916
9,Male,Asian or Pacific Islander,9.777670808387737e-05
9,Male,Black or African American,0.0002481368346296344
9,Male,White,0.00010414624979704419
10,Female,American Indian or Alaska Native,0.00017902813299232738
10,Female,Asian or Pacific Islander,7.539829147471519e-05
10,Female,Black or African American,0.0001938603293344889
