state,age_group,gender,race,cause_of_death,deaths,population
Alabama,< 1 year,Female,Black or African American,Extreme immaturity,20.0,9782.0
Alabama,< 1 year,Female,Black or African American,Sudden infant death syndrome - SIDS,10.0,9782.0
Alabama,< 1 year,Female,White,Extreme immaturity,10.0,17878.0
Alabama,< 1 year,Female,White,Sudden infant death syndrome - SIDS,15.0,17878.0
Alabama,< 1 year,Female,White,Other ill-defined and unspecified causes of mortality,15.0,17878.0
Alabama,< 1 year,Male,Black or African American,Extreme immaturity,28.0,10116.0
Alabama,< 1 year,Male,Black or African American,Sudden infant death syndrome - SIDS,12.0,10116.0
Alabama,< 1 year,Male,Black or African American,Other ill-defined and unspecified causes of mortality,13.0,10116.0
Alabama,< 1 year,Male,White,Extreme immaturity,13.0,18870.0
Alabama,< 1 year,Male,White,Sudden infant death syndrome - SIDS,12.0,18870.0
Alabama,< 1 year,Male,White,Other ill-defined and unspecified causes of mortality,20.0,18870.0
Alabama,15-19 years,Female,White,"Person injured in unspecified motor-vehicle accident, traffic",18.0,102837.0
Alabama,15-19 years,Male,Black or African American,Assault by other and unspecified firearm discharge,35.0,51187.0
Alabama,15-19 years,Male,White,"Person injured in unspecified motor-vehicle accident, traffic",16.0,107242.0
Alabama,15-19 years,Male,White,Intentional self-harm by other and unspecified firearm discharge,11.0,107242.0
Alabama,20-24 years,Female,White,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",11.0,103968.0
Alabama,20-24 years,Male,Black or African American,Assault by other and unspecified firearm discharge,55.0,54339.0
Alabama,20-24 years,Male,White,Person injured in collision between other specified motor vehicles (traffic),11.0,108910.0
Alabama,20-24 years,Male,White,"Person injured in unspecified motor-vehicle accident, traffic",24.0,108910.0
Alabama,20-24 years,Male,White,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",13.0,108910.0
Alabama,20-24 years,Male,White,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",18.0,108910.0
Alabama,20-24 years,Male,White,"Intentional self-harm by hanging, strangulation and suffocation",12.0,108910.0
Alabama,20-24 years,Male,White,Intentional self-harm by other and unspecified firearm discharge,18.0,108910.0
Alabama,25-34 years,Female,Black or African American,Assault by other and unspecified firearm discharge,11.0,101637.0
Alabama,25-34 years,Female,White,"Person injured in unspecified motor-vehicle accident, traffic",25.0,212894.0
Alabama,25-34 years,Female,White,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",13.0,212894.0
Alabama,25-34 years,Female,White,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",31.0,212894.0
Alabama,25-34 years,Male,Black or African American,"Person injured in unspecified motor-vehicle accident, traffic",25.0,90281.0
Alabama,25-34 years,Male,Black or African American,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",16.0,90281.0
Alabama,25-34 years,Male,Black or African American,Assault by handgun discharge,10.0,90281.0
Alabama,25-34 years,Male,Black or African American,Assault by other and unspecified firearm discharge,79.0,90281.0
Alabama,25-34 years,Male,White,Person injured in collision between other specified motor vehicles (traffic),19.0,214594.0
Alabama,25-34 years,Male,White,"Person injured in unspecified motor-vehicle accident, traffic",55.0,214594.0
Alabama,25-34 years,Male,White,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",48.0,214594.0
Alabama,25-34 years,Male,White,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",57.0,214594.0
Alabama,25-34 years,Male,White,"Intentional self-harm by hanging, strangulation and suffocation",28.0,214594.0
Alabama,25-34 years,Male,White,Intentional self-harm by other and unspecified firearm discharge,42.0,214594.0
Alabama,25-34 years,Male,White,Assault by other and unspecified firearm discharge,25.0,214594.0
Alabama,35-44 years,Female,Black or African American,"Breast, unspecified - Malignant neoplasms",13.0,91661.0
Alabama,35-44 years,Female,White,"Septicaemia, unspecified",11.0,204588.0
Alabama,35-44 years,Female,White,"Bronchus or lung, unspecified - Malignant neoplasms",10.0,204588.0
Alabama,35-44 years,Female,White,"Breast, unspecified - Malignant neoplasms",18.0,204588.0
Alabama,35-44 years,Female,White,"Acute myocardial infarction, unspecified",14.0,204588.0
Alabama,35-44 years,Female,White,"Cardiac arrest, unspecified",17.0,204588.0
Alabama,35-44 years,Female,White,"Cardiac arrhythmia, unspecified",13.0,204588.0
Alabama,35-44 years,Female,White,Other ill-defined and unspecified causes of mortality,15.0,204588.0
Alabama,35-44 years,Female,White,"Person injured in unspecified motor-vehicle accident, traffic",19.0,204588.0
Alabama,35-44 years,Female,White,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",20.0,204588.0
Alabama,35-44 years,Female,White,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",37.0,204588.0
Alabama,35-44 years,Female,White,Intentional self-harm by other and unspecified firearm discharge,20.0,204588.0
Alabama,35-44 years,Male,Black or African American,Hypertensive heart disease without (congestive) heart failure,14.0,75570.0
Alabama,35-44 years,Male,Black or African American,"Person injured in unspecified motor-vehicle accident, traffic",17.0,75570.0
Alabama,35-44 years,Male,Black or African American,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",15.0,75570.0
Alabama,35-44 years,Male,Black or African American,Assault by other and unspecified firearm discharge,43.0,75570.0
Alabama,35-44 years,Male,White,"Septicaemia, unspecified",16.0,205339.0
Alabama,35-44 years,Male,White,"Bronchus or lung, unspecified - Malignant neoplasms",10.0,205339.0
Alabama,35-44 years,Male,White,Essential (primary) hypertension,10.0,205339.0
Alabama,35-44 years,Male,White,"Acute myocardial infarction, unspecified",28.0,205339.0
Alabama,35-44 years,Male,White,"Atherosclerotic cardiovascular disease, so described",11.0,205339.0
Alabama,35-44 years,Male,White,Atherosclerotic heart disease,10.0,205339.0
Alabama,35-44 years,Male,White,"Cardiac arrest, unspecified",22.0,205339.0
Alabama,35-44 years,Male,White,Other ill-defined and unspecified causes of mortality,15.0,205339.0
Alabama,35-44 years,Male,White,Person injured in collision between other specified motor vehicles (traffic),12.0,205339.0
Alabama,35-44 years,Male,White,"Person injured in unspecified motor-vehicle accident, traffic",47.0,205339.0
Alabama,35-44 years,Male,White,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",34.0,205339.0
Alabama,35-44 years,Male,White,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",56.0,205339.0
Alabama,35-44 years,Male,White,"Intentional self-harm by hanging, strangulation and suffocation",22.0,205339.0
Alabama,35-44 years,Male,White,Intentional self-harm by other and unspecified firearm discharge,35.0,205339.0
Alabama,35-44 years,Male,White,Assault by other and unspecified firearm discharge,21.0,205339.0
Alabama,45-54 years,Female,Black or African American,"Septicaemia, unspecified",17.0,89990.0
Alabama,45-54 years,Female,Black or African American,"Colon, unspecified - Malignant neoplasms",12.0,89990.0
Alabama,45-54 years,Female,Black or African American,"Bronchus or lung, unspecified - Malignant neoplasms",17.0,89990.0
Alabama,45-54 years,Female,Black or African American,"Breast, unspecified - Malignant neoplasms",32.0,89990.0
Alabama,45-54 years,Female,Black or African American,"Unspecified diabetes mellitus, without complications",15.0,89990.0
Alabama,45-54 years,Female,Black or African American,Essential (primary) hypertension,12.0,89990.0
Alabama,45-54 years,Female,Black or African American,"Acute myocardial infarction, unspecified",16.0,89990.0
Alabama,45-54 years,Female,Black or African American,"Cardiac arrest, unspecified",24.0,89990.0
