year,state,age_group,gender,race,deaths,population,crude_rate
2010.0,Alabama,< 1 year,Female,Black or African American,113.0,9648,1171.2
2010.0,Alabama,< 1 year,Female,White,123.0,19239,639.3
2010.0,Alabama,< 1 year,Male,Black or African American,137.0,9856,1390.0
2010.0,Alabama,< 1 year,Male,White,146.0,19869,734.8
2010.0,Alabama,1-4 years,Male,White,30.0,82499,36.4
2010.0,Alabama,5-14 years,Female,Black or African American,21.0,96816,21.7
2010.0,Alabama,5-14 years,Female,White,37.0,202812,18.2
2010.0,Alabama,5-14 years,Male,Black or African American,31.0,99812,31.1
2010.0,Alabama,5-14 years,Male,White,47.0,213440,22.0
2010.0,Alabama,15-24 years,Female,Black or African American,71.0,111303,63.8
2010.0,Alabama,15-24 years,Female,White,120.0,217434,55.2
2010.0,Alabama,15-24 years,Male,Black or African American,178.0,106330,167.4
2010.0,Alabama,15-24 years,Male,White,257.0,227918,112.8
2010.0,Alabama,25-34 years,Female,Black or African American,114.0,95452,119.4
2010.0,Alabama,25-34 years,Female,White,221.0,204528,108.1
2010.0,Alabama,25-34 years,Male,Black or African American,200.0,80683,247.9
2010.0,Alabama,25-34 years,Male,White,462.0,210492,219.5
2010.0,Alabama,35-44 years,Female,Black or African American,238.0,88645,268.5
2010.0,Alabama,35-44 years,Female,White,435.0,218975,198.7
2010.0,Alabama,35-44 years,Male,Black or African American,277.0,73361,377.6
2010.0,Alabama,35-44 years,Male,White,665.0,222558,298.8
2010.0,Alabama,45-54 years,Female,Black or African American,535.0,96633,553.6
2010.0,Alabama,45-54 years,Female,White,1047.0,252403,414.8
2010.0,Alabama,45-54 years,Male,Black or African American,723.0,80799,894.8
2010.0,Alabama,45-54 years,Male,White,1710.0,250831,681.7
2010.0,Alabama,55-64 years,Female,Black or African American,784.0,73342,1069.0
2010.0,Alabama,55-64 years,Female,White,1822.0,228369,797.8
2010.0,Alabama,55-64 years,Male,Black or African American,1220.0,61287,1990.6
2010.0,Alabama,55-64 years,Male,White,2887.0,215875,1337.3
2010.0,Alabama,65-74 years,Female,Black or African American,917.0,38440,2385.5
2010.0,Alabama,65-74 years,Female,White,2870.0,159727,1796.8
2010.0,Alabama,65-74 years,Male,Black or African American,1069.0,28735,3720.2
2010.0,Alabama,65-74 years,Male,White,4001.0,139360,2871.0
2010.0,Alabama,75-84 years,Female,Black or African American,1202.0,23502,5114.5
