Occupation,Hierarchy Levels,variable,value
 Total ,0,Total fatal injuries (number),5250
 Total ,0,Transportation incidents,2080
 Transportation and material moving occupations ,0,Total fatal injuries (number),1443
 Motor vehicle operators ,1,Total fatal injuries (number),1044
 Transportation and material moving occupations ,0,Transportation incidents,1014
 Construction and extraction occupations ,0,Total fatal injuries (number),1003
 Driver/sales workers and truck drivers ,2,Total fatal injuries (number),966
 Heavy and tractor-trailer truck drivers ,3,Total fatal injuries (number),831
 Total ,0,Violence and other injuries by persons or animals,828
 Motor vehicle operators ,1,Transportation incidents,801
 Total ,0,"Falls, slips, trips",791
 Total ,0,Contact with objects and equipment,786
 Driver/sales workers and truck drivers ,2,Transportation incidents,749
 Construction trades workers ,1,Total fatal injuries (number),731
 Heavy and tractor-trailer truck drivers ,3,Transportation incidents,649
 Total ,0,Exposure to harmful substances or environments,621
" Installation, maintenance, and repair occupations ",0,Total fatal injuries (number),420
 Management occupations ,0,Total fatal injuries (number),387
 Building and grounds cleaning and maintenance occupations ,0,Total fatal injuries (number),350
 Construction and extraction occupations ,0,"Falls, slips, trips",339
 Other management occupations ,1,Total fatal injuries (number),327
 Construction trades workers ,1,"Falls, slips, trips",282
 Protective service occupations ,0,Total fatal injuries (number),270
" Farming, fishing, and forestry occupations ",0,Total fatal injuries (number),262
 Construction laborers ,2,Total fatal injuries (number),259
 Construction laborers ,3,Total fatal injuries (number),259
" Farmers, ranchers, and other agricultural managers ",2,Total fatal injuries (number),257
" Farmers, ranchers, and other agricultural managers ",3,Total fatal injuries (number),257
 Material moving workers ,1,Total fatal injuries (number),255
 Sales and related occupations ,0,Total fatal injuries (number),241
 Construction and extraction occupations ,0,Transportation incidents,228
 Grounds maintenance workers ,1,Total fatal injuries (number),225
 Grounds maintenance workers ,2,Total fatal injuries (number),225
 Production occupations ,0,Total fatal injuries (number),225
" Other installation, maintenance, and repair occupations ",1,Total fatal injuries (number),194
 Construction and extraction occupations ,0,Contact with objects and equipment,187
 Management occupations ,0,Transportation incidents,159
 Agricultural workers ,1,Total fatal injuries (number),158
 Miscellaneous agricultural workers ,2,Total fatal injuries (number),157
 Construction and extraction occupations ,0,Exposure to harmful substances or environments,157
" Vehicle and mobile equipment mechanics, installers, and repairers ",1,Total fatal injuries (number),152
 Transportation and material moving occupations ,0,Contact with objects and equipment,145
 Supervisors of construction and extraction workers ,1,Total fatal injuries (number),144
 First-line supervisors of construction trades and extraction workers ,2,Total fatal injuries (number),144
 First-line supervisors of construction trades and extraction workers ,3,Total fatal injuries (number),144
 Landscaping and groundskeeping workers ,3,Total fatal injuries (number),142
 Construction trades workers ,1,Transportation incidents,141
" Laborers and material movers, hand ",2,Total fatal injuries (number),136
 Other management occupations ,1,Transportation incidents,134
 Sales and related occupations ,0,Violence and other injuries by persons or animals,129
 Law enforcement workers ,1,Total fatal injuries (number),127
" Farmers, ranchers, and other agricultural managers ",2,Transportation incidents,127
" Farmers, ranchers, and other agricultural managers ",3,Transportation incidents,127
 Construction trades workers ,1,Contact with objects and equipment,127
 Construction trades workers ,1,Exposure to harmful substances or environments,125
 Protective service occupations ,0,Violence and other injuries by persons or animals,117
 Total ,0,Fires and explosions,115
" Installation, maintenance, and repair occupations ",0,Contact with objects and equipment,114
" Laborers and freight, stock, and material movers, hand ",3,Total fatal injuries (number),113
 Police officers ,2,Total fatal injuries (number),108
 Police and sheriff's patrol officers ,3,Total fatal injuries (number),108
" Installation, maintenance, and repair occupations ",0,Transportation incidents,104
 Supervisors of sales workers ,1,Total fatal injuries (number),102
 First-line supervisors of sales workers ,2,Total fatal injuries (number),102
 Transportation and material moving occupations ,0,Exposure to harmful substances or environments,102
 Food preparation and serving related occupations ,0,Total fatal injuries (number),100
" Farming, fishing, and forestry occupations ",0,Transportation incidents,100
 Material moving workers ,1,Transportation incidents,100
 Retail sales workers ,1,Total fatal injuries (number),99
 Building and grounds cleaning and maintenance occupations ,0,"Falls, slips, trips",99
 Protective service occupations ,0,Transportation incidents,98
 Roofers ,2,Total fatal injuries (number),96
 Roofers ,3,Total fatal injuries (number),96
" Farming, fishing, and forestry occupations ",0,Contact with objects and equipment,92
 Building and grounds cleaning and maintenance occupations ,0,Transportation incidents,89
 Carpenters ,2,Total fatal injuries (number),86
 Carpenters ,3,Total fatal injuries (number),86
 Transportation and material moving occupations ,0,Violence and other injuries by persons or animals,84
 Light truck or delivery services drivers ,3,Total fatal injuries (number),83
 Construction laborers ,2,"Falls, slips, trips",83
 Construction laborers ,3,"Falls, slips, trips",83
 Military specific occupations(5) ,0,Total fatal injuries (number),82
 Management occupations ,0,Violence and other injuries by persons or animals,82
 Transportation and material moving occupations ,0,"Falls, slips, trips",82
 Other protective service workers ,1,Total fatal injuries (number),81
 Electricians ,2,Total fatal injuries (number),80
 Electricians ,3,Total fatal injuries (number),80
 Metal workers and plastic workers ,1,Total fatal injuries (number),80
 First-line supervisors of retail sales workers ,3,Total fatal injuries (number),79
" Farmworkers and laborers, crop, nursery, and greenhouse ",3,Total fatal injuries (number),78
 Management occupations ,0,Contact with objects and equipment,78
 Tree trimmers and pruners ,3,Total fatal injuries (number),77
 Motor vehicle operators ,1,Contact with objects and equipment,76
 Other management occupations ,1,Contact with objects and equipment,75
" Farmers, ranchers, and other agricultural managers ",2,Contact with objects and equipment,75
" Farmers, ranchers, and other agricultural managers ",3,Contact with objects and equipment,75
 Driver/sales workers and truck drivers ,2,Contact with objects and equipment,75
 Roofers ,2,"Falls, slips, trips",74
 Roofers ,3,"Falls, slips, trips",74
 Building and grounds cleaning and maintenance occupations ,0,Exposure to harmful substances or environments,74
 Construction laborers ,2,Contact with objects and equipment,74
 Construction laborers ,3,Contact with objects and equipment,74
" Arts, design, entertainment, sports, and media occupations ",0,Total fatal injuries (number),71
 Air transportation workers ,1,Total fatal injuries (number),71
 Aircraft pilots and flight engineers ,2,Total fatal injuries (number),70
 Air transportation workers ,1,Transportation incidents,70
 Office and administrative support occupations ,0,Total fatal injuries (number),69
 Aircraft pilots and flight engineers ,2,Transportation incidents,69
 Law enforcement workers ,1,Violence and other injuries by persons or animals,68
 Automotive technicians and repairers ,2,Total fatal injuries (number),67
 Light truck or delivery services drivers ,3,Transportation incidents,67
 Building and grounds cleaning and maintenance occupations ,0,Contact with objects and equipment,67
 Heavy and tractor-trailer truck drivers ,3,Contact with objects and equipment,67
 Building cleaning and pest control workers ,1,Total fatal injuries (number),66
 Supervisors of sales workers ,1,Violence and other injuries by persons or animals,66
 First-line supervisors of sales workers ,2,Violence and other injuries by persons or animals,66
 Agricultural workers ,1,Transportation incidents,66
 Miscellaneous agricultural workers ,2,Transportation incidents,66
 Healthcare practitioners and technical occupations ,0,Total fatal injuries (number),65
" Installation, maintenance, and repair occupations ",0,Exposure to harmful substances or environments,65
 Extraction workers ,1,Total fatal injuries (number),64
" Maintenance and repair workers, general ",2,Total fatal injuries (number),64
" Maintenance and repair workers, general ",3,Total fatal injuries (number),64
 Personal care and service occupations ,0,Total fatal injuries (number),63
 Commercial pilots ,3,Total fatal injuries (number),63
 Motor vehicle operators ,1,Exposure to harmful substances or environments,63
 Production occupations ,0,Contact with objects and equipment,63
 Material moving workers ,1,Contact with objects and equipment,63
 Construction and extraction occupations ,0,Violence and other injuries by persons or animals,62
" Installation, maintenance, and repair occupations ",0,Violence and other injuries by persons or animals,62
 Commercial pilots ,3,Transportation incidents,62
 Building cleaning workers ,2,Total fatal injuries (number),61
 Driver/sales workers and truck drivers ,2,Exposure to harmful substances or environments,61
" Farmworkers, farm, ranch, and aquacultural animals ",3,Total fatal injuries (number),60
 Supervisors of building and grounds cleaning and maintenance workers ,1,Total fatal injuries (number),59
 First-line supervisors of building and grounds cleaning and maintenance workers ,2,Total fatal injuries (number),59
 Other management occupations ,1,Violence and other injuries by persons or animals,59
 Security guards and gaming surveillance officers ,2,Total fatal injuries (number),58
 Security guards ,3,Total fatal injuries (number),58
 Automotive service technicians and mechanics ,3,Total fatal injuries (number),58
 First-line supervisors of retail sales workers ,3,Violence and other injuries by persons or animals,58
 Grounds maintenance workers ,1,Transportation incidents,58
 Grounds maintenance workers ,2,Transportation incidents,58
" Vehicle and mobile equipment mechanics, installers, and repairers ",1,Contact with objects and equipment,58
" Forest, conservation, and logging workers ",1,Total fatal injuries (number),57
 Logging workers ,2,Total fatal injuries (number),56
 Police officers ,2,Violence and other injuries by persons or animals,56
 Police and sheriff's patrol officers ,3,Violence and other injuries by persons or animals,56
 Grounds maintenance workers ,1,"Falls, slips, trips",56
 Grounds maintenance workers ,2,"Falls, slips, trips",56
 Heavy and tractor-trailer truck drivers ,3,Exposure to harmful substances or environments,55
 Other production occupations ,1,Total fatal injuries (number),54
" Installation, maintenance, and repair occupations ",0,"Falls, slips, trips",54
 Other construction and related workers ,1,Total fatal injuries (number),53
 Motor vehicle operators ,1,Violence and other injuries by persons or animals,53
 Driver/sales workers ,3,Total fatal injuries (number),52
 Retail sales workers ,1,Violence and other injuries by persons or animals,52
 Grounds maintenance workers ,1,Exposure to harmful substances or environments,52
 Grounds maintenance workers ,2,Exposure to harmful substances or environments,52
 Construction equipment operators ,2,Total fatal injuries (number),51
 Landscaping and groundskeeping workers ,3,Transportation incidents,50
" Other installation, maintenance, and repair occupations ",1,Transportation incidents,50
 Grounds maintenance workers ,1,Contact with objects and equipment,50
 Grounds maintenance workers ,2,Contact with objects and equipment,50
 Law enforcement workers ,1,Transportation incidents,49
" First-line supervisors of landscaping, lawn service, and groundskeeping workers ",3,Total fatal injuries (number),48
" Janitors and cleaners, except maids and housekeeping cleaners ",3,Total fatal injuries (number),48
 Cashiers ,2,Total fatal injuries (number),47
 Cashiers ,3,Total fatal injuries (number),47
 Taxi drivers and chauffeurs ,2,Total fatal injuries (number),47
 Taxi drivers and chauffeurs ,3,Total fatal injuries (number),47
 Food preparation and serving related occupations ,0,Violence and other injuries by persons or animals,47
 Construction laborers ,2,Transportation incidents,47
 Construction laborers ,3,Transportation incidents,47
 Retail salespersons ,2,Total fatal injuries (number),46
 Retail salespersons ,3,Total fatal injuries (number),46
