occupation,hierarchy_level,mechanism_of_death,deaths,population
Total,0,Total,5250,"161,038"
Total,0,Cut/Pierce,828,"161,038"
Total,0,Motor Vehicle Traffic,2080,"161,038"
Total,0,Fire/Flame,115,"161,038"
Total,0,Fall,791,"161,038"
Total,0,Poisoning,621,"161,038"
Total,0,Struck by or against,786,"161,038"
Management occupations,0,Total,387,"10,193"
Management occupations,0,Cut/Pierce,82,"10,193"
Management occupations,0,Motor Vehicle Traffic,159,"10,193"
Management occupations,0,Fire/Flame,14,"10,193"
Management occupations,0,Fall,35,"10,193"
Management occupations,0,Poisoning,15,"10,193"
Management occupations,0,Struck by or against,78,"10,193"
Top executives,1,Total,39,"2,692"
Top executives,1,Cut/Pierce,16,"2,692"
Top executives,1,Motor Vehicle Traffic,16,"2,692"
Top executives,1,Fire/Flame,1,"2,692"
Top executives,1,Fall,3,"2,692"
Top executives,1,Poisoning,0,"2,692"
Top executives,1,Struck by or against,0,"2,692"
Chief executives,2,Total,23,263
Chief executives,3,Total,23,263
Chief executives,2,Cut/Pierce,9,263
Chief executives,3,Cut/Pierce,9,263
Chief executives,2,Motor Vehicle Traffic,10,263
Chief executives,3,Motor Vehicle Traffic,10,263
Chief executives,2,Fire/Flame,0,263
Chief executives,3,Fire/Flame,0,263
Chief executives,2,Fall,0,263
Chief executives,3,Fall,0,263
Chief executives,2,Poisoning,0,263
Chief executives,3,Poisoning,0,263
Chief executives,2,Struck by or against,0,263
Chief executives,3,Struck by or against,0,263
General and operations managers,2,Total,16,"2,376"
General and operations managers,3,Total,16,"2,376"
General and operations managers,2,Cut/Pierce,7,"2,376"
General and operations managers,3,Cut/Pierce,7,"2,376"
General and operations managers,2,Motor Vehicle Traffic,6,"2,376"
General and operations managers,3,Motor Vehicle Traffic,6,"2,376"
General and operations managers,2,Fire/Flame,1,"2,376"
General and operations managers,3,Fire/Flame,1,"2,376"
General and operations managers,2,Fall,0,"2,376"
General and operations managers,3,Fall,0,"2,376"
General and operations managers,2,Poisoning,0,"2,376"
General and operations managers,3,Poisoning,0,"2,376"
General and operations managers,2,Struck by or against,0,"2,376"
General and operations managers,3,Struck by or against,0,"2,376"
"Advertising, marketing, promotions, public relations, and sales managers",1,Total,10,774
"Advertising, marketing, promotions, public relations, and sales managers",1,Cut/Pierce,1,774
"Advertising, marketing, promotions, public relations, and sales managers",1,Motor Vehicle Traffic,6,774
"Advertising, marketing, promotions, public relations, and sales managers",1,Fire/Flame,0,774
"Advertising, marketing, promotions, public relations, and sales managers",1,Fall,0,774
"Advertising, marketing, promotions, public relations, and sales managers",1,Poisoning,0,774
"Advertising, marketing, promotions, public relations, and sales managers",1,Struck by or against,0,774
Marketing and sales managers,2,Total,9,665
Marketing and sales managers,2,Cut/Pierce,1,665
Marketing and sales managers,2,Motor Vehicle Traffic,6,665
Marketing and sales managers,2,Fire/Flame,0,665
Marketing and sales managers,2,Fall,0,665
Marketing and sales managers,2,Poisoning,0,665
Marketing and sales managers,2,Struck by or against,0,665
Marketing managers,3,Total,0,259
Marketing managers,3,Cut/Pierce,0,259
Marketing managers,3,Motor Vehicle Traffic,1,259
Marketing managers,3,Fire/Flame,0,259
Marketing managers,3,Fall,0,259
Marketing managers,3,Poisoning,0,259
Marketing managers,3,Struck by or against,0,259
Sales managers,3,Total,7,406
Sales managers,3,Cut/Pierce,1,406
Sales managers,3,Motor Vehicle Traffic,5,406
Sales managers,3,Fire/Flame,0,406
Sales managers,3,Fall,0,406
Sales managers,3,Poisoning,0,406
Sales managers,3,Struck by or against,0,406
Operations specialties managers,1,Total,11,"1,964"
Operations specialties managers,1,Cut/Pierce,6,"1,964"
Operations specialties managers,1,Motor Vehicle Traffic,3,"1,964"
Operations specialties managers,1,Fire/Flame,0,"1,964"
Operations specialties managers,1,Fall,0,"1,964"
Operations specialties managers,1,Poisoning,0,"1,964"
Operations specialties managers,1,Struck by or against,0,"1,964"
Industrial production managers,2,Total,4,187
Industrial production managers,3,Total,4,187
Industrial production managers,2,Cut/Pierce,1,187
Industrial production managers,3,Cut/Pierce,1,187
Industrial production managers,2,Motor Vehicle Traffic,0,187
Industrial production managers,3,Motor Vehicle Traffic,0,187
Industrial production managers,2,Fire/Flame,0,187
Industrial production managers,3,Fire/Flame,0,187
Industrial production managers,2,Fall,0,187
Industrial production managers,3,Fall,0,187
Industrial production managers,2,Poisoning,0,187
Industrial production managers,3,Poisoning,0,187
Industrial production managers,2,Struck by or against,0,187
Industrial production managers,3,Struck by or against,0,187
"Transportation, storage, and distribution managers",2,Total,4,131
"Transportation, storage, and distribution managers",3,Total,4,131
"Transportation, storage, and distribution managers",2,Cut/Pierce,3,131
"Transportation, storage, and distribution managers",3,Cut/Pierce,3,131
"Transportation, storage, and distribution managers",2,Motor Vehicle Traffic,0,131
"Transportation, storage, and distribution managers",3,Motor Vehicle Traffic,0,131
"Transportation, storage, and distribution managers",2,Fire/Flame,0,131
"Transportation, storage, and distribution managers",3,Fire/Flame,0,131
"Transportation, storage, and distribution managers",2,Fall,0,131
"Transportation, storage, and distribution managers",3,Fall,0,131
"Transportation, storage, and distribution managers",2,Poisoning,0,131
"Transportation, storage, and distribution managers",3,Poisoning,0,131
"Transportation, storage, and distribution managers",2,Struck by or against,0,131
"Transportation, storage, and distribution managers",3,Struck by or against,0,131
Other management occupations,1,Total,327,"4,764"
Other management occupations,1,Cut/Pierce,59,"4,764"
Other management occupations,1,Motor Vehicle Traffic,134,"4,764"
Other management occupations,1,Fire/Flame,12,"4,764"
Other management occupations,1,Fall,30,"4,764"
Other management occupations,1,Poisoning,15,"4,764"
Other management occupations,1,Struck by or against,75,"4,764"
"Farmers, ranchers, and other agricultural managers",2,Total,257,975
"Farmers, ranchers, and other agricultural managers",3,Total,257,975
"Farmers, ranchers, and other agricultural managers",2,Cut/Pierce,26,975
"Farmers, ranchers, and other agricultural managers",3,Cut/Pierce,26,975
"Farmers, ranchers, and other agricultural managers",2,Motor Vehicle Traffic,127,975
"Farmers, ranchers, and other agricultural managers",3,Motor Vehicle Traffic,127,975
"Farmers, ranchers, and other agricultural managers",2,Fire/Flame,7,975
"Farmers, ranchers, and other agricultural managers",3,Fire/Flame,7,975
"Farmers, ranchers, and other agricultural managers",2,Fall,15,975
"Farmers, ranchers, and other agricultural managers",3,Fall,15,975
"Farmers, ranchers, and other agricultural managers",2,Poisoning,6,975
"Farmers, ranchers, and other agricultural managers",3,Poisoning,6,975
"Farmers, ranchers, and other agricultural managers",2,Struck by or against,75,975
"Farmers, ranchers, and other agricultural managers",3,Struck by or against,75,975
Construction managers,2,Total,8,472
Construction managers,3,Total,8,472
Construction managers,2,Cut/Pierce,0,472
Construction managers,3,Cut/Pierce,0,472
Construction managers,2,Motor Vehicle Traffic,0,472
Construction managers,3,Motor Vehicle Traffic,0,472
Construction managers,2,Fire/Flame,0,472
Construction managers,3,Fire/Flame,0,472
Construction managers,2,Fall,0,472
Construction managers,3,Fall,0,472
Construction managers,2,Poisoning,0,472
Construction managers,3,Poisoning,0,472
Construction managers,2,Struck by or against,0,472
Construction managers,3,Struck by or against,0,472
Education administrators,2,Total,4,582
Education administrators,2,Cut/Pierce,1,582
Education administrators,2,Motor Vehicle Traffic,0,582
Education administrators,2,Fire/Flame,0,582
Education administrators,2,Fall,1,582
Education administrators,2,Poisoning,0,582
Education administrators,2,Struck by or against,0,582
"Education administrators, elementary and secondary school",3,Total,0,275
"Education administrators, elementary and secondary school",3,Cut/Pierce,1,275
"Education administrators, elementary and secondary school",3,Motor Vehicle Traffic,0,275
"Education administrators, elementary and secondary school",3,Fire/Flame,0,275
"Education administrators, elementary and secondary school",3,Fall,0,275
"Education administrators, elementary and secondary school",3,Poisoning,0,275
"Education administrators, elementary and secondary school",3,Struck by or against,0,275
"Education administrators, postsecondary",3,Total,0,193
"Education administrators, postsecondary",3,Cut/Pierce,0,193
"Education administrators, postsecondary",3,Motor Vehicle Traffic,0,193
"Education administrators, postsecondary",3,Fire/Flame,0,193
"Education administrators, postsecondary",3,Fall,1,193
"Education administrators, postsecondary",3,Poisoning,0,193
