"Notes"	"State"	"State Code"	"Age Group"	"Age Group Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"Extreme immaturity"	"P07.2"	20	9782	204.5
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"Sudden infant death syndrome - SIDS"	"R95"	10	9782	102.2 (Unreliable)
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"Extreme immaturity"	"P07.2"	10	17878	55.9 (Unreliable)
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"Sudden infant death syndrome - SIDS"	"R95"	15	17878	83.9 (Unreliable)
	"Alabama"	"01"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"Other ill-defined and unspecified causes of mortality"	"R99"	15	17878	83.9 (Unreliable)
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"Extreme immaturity"	"P07.2"	28	10116	276.8
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"Sudden infant death syndrome - SIDS"	"R95"	12	10116	118.6 (Unreliable)
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"Other ill-defined and unspecified causes of mortality"	"R99"	13	10116	128.5 (Unreliable)
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"Extreme immaturity"	"P07.2"	13	18870	68.9 (Unreliable)
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"Sudden infant death syndrome - SIDS"	"R95"	12	18870	63.6 (Unreliable)
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"Other ill-defined and unspecified causes of mortality"	"R99"	20	18870	106.0
	"Alabama"	"01"	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	18	102837	17.5 (Unreliable)
	"Alabama"	"01"	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"Assault by other and unspecified firearm discharge"	"X95"	35	51187	68.4
	"Alabama"	"01"	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	16	107242	14.9 (Unreliable)
	"Alabama"	"01"	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	11	107242	10.3 (Unreliable)
	"Alabama"	"01"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	11	103968	10.6 (Unreliable)
	"Alabama"	"01"	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"	"Assault by other and unspecified firearm discharge"	"X95"	55	54339	101.2
	"Alabama"	"01"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	"Person injured in collision between other specified motor vehicles (traffic)"	"V87.7"	11	108910	10.1 (Unreliable)
	"Alabama"	"01"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	24	108910	22.0
	"Alabama"	"01"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	13	108910	11.9 (Unreliable)
	"Alabama"	"01"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	18	108910	16.5 (Unreliable)
	"Alabama"	"01"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	12	108910	11.0 (Unreliable)
	"Alabama"	"01"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	18	108910	16.5 (Unreliable)
	"Alabama"	"01"	"25-34 years"	"25-34"	"Female"	"F"	"Black or African American"	"2054-5"	"Assault by other and unspecified firearm discharge"	"X95"	11	101637	10.8 (Unreliable)
	"Alabama"	"01"	"25-34 years"	"25-34"	"Female"	"F"	"White"	"2106-3"	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	25	212894	11.7
	"Alabama"	"01"	"25-34 years"	"25-34"	"Female"	"F"	"White"	"2106-3"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	13	212894	6.1 (Unreliable)
	"Alabama"	"01"	"25-34 years"	"25-34"	"Female"	"F"	"White"	"2106-3"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	31	212894	14.6
	"Alabama"	"01"	"25-34 years"	"25-34"	"Male"	"M"	"Black or African American"	"2054-5"	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	25	90281	27.7
	"Alabama"	"01"	"25-34 years"	"25-34"	"Male"	"M"	"Black or African American"	"2054-5"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	16	90281	17.7 (Unreliable)
	"Alabama"	"01"	"25-34 years"	"25-34"	"Male"	"M"	"Black or African American"	"2054-5"	"Assault by handgun discharge"	"X93"	10	90281	11.1 (Unreliable)
	"Alabama"	"01"	"25-34 years"	"25-34"	"Male"	"M"	"Black or African American"	"2054-5"	"Assault by other and unspecified firearm discharge"	"X95"	79	90281	87.5
	"Alabama"	"01"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	"Person injured in collision between other specified motor vehicles (traffic)"	"V87.7"	19	214594	8.9 (Unreliable)
	"Alabama"	"01"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	"Person injured in unspecified motor-vehicle accident, traffic"	"V89.2"	55	214594	25.6
	"Alabama"	"01"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	48	214594	22.4
	"Alabama"	"01"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	57	214594	26.6
	"Alabama"	"01"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	28	214594	13.0
	"Alabama"	"01"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	42	214594	19.6
	"Alabama"	"01"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	"Assault by other and unspecified firearm discharge"	"X95"	25	214594	11.6
	"Alabama"	"01"	"35-44 years"	"35-44"	"Female"	"F"	"Black or African American"	"2054-5"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	13	91661	14.2 (Unreliable)
	"Alabama"	"01"	"35-44 years"	"35-44"	"Female"	"F"	"White"	"2106-3"	"Septicaemia, unspecified"	"A41.9"	11	204588	5.4 (Unreliable)
	"Alabama"	"01"	"35-44 years"	"35-44"	"Female"	"F"	"White"	"2106-3"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	10	204588	4.9 (Unreliable)
	"Alabama"	"01"	"35-44 years"	"35-44"	"Female"	"F"	"White"	"2106-3"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	18	204588	8.8 (Unreliable)
	"Alabama"	"01"	"35-44 years"	"35-44"	"Female"	"F"	"White"	"2106-3"	"Acute myocardial infarction, unspecified"	"I21.9"	14	204588	6.8 (Unreliable)
	"Alabama"	"01"	"35-44 years"	"35-44"	"Female"	"F"	"White"	"2106-3"	"Cardiac arrest, unspecified"	"I46.9"	17	204588	8.3 (Unreliable)
